variant,review,n_labels,pct_draws_unusable,recall_at_10pct,recall_at_20pct,wss_at_95,roc_auc,wss_ceiling
jasper: embedding,Sep_2021,200,0.0,0.3019070512820513,0.46908532439782447,0.1957746478873239,0.7599634927629878,0.8054929577464789
jasper: embedding,Menon_2022,25,0.15,0.5129575484200617,0.7279312697191849,0.40752321981424144,0.8631400425457588,0.8782941176470588
jasper: embedding,Menon_2022,50,0.0,0.5858967925546266,0.7888334103321467,0.48024324324324325,0.8934899012344527,0.8779797297297296
jasper: embedding,Menon_2022,100,0.0,0.6496951862609244,0.8264668540922347,0.5174285714285715,0.9136310916971955,0.8776371428571427
jasper: embedding,Menon_2022,200,0.0,0.6981400346130332,0.8657149633826094,0.5701612903225806,0.929583637175438,0.8774629032258063
jasper: embedding,van_der_Waal_2022,25,0.575,0.5179079696394687,0.7645279886148008,0.5842960834719491,0.8734440638358827,0.9343989112354453
jasper: embedding,van_der_Waal_2022,50,0.275,0.6096148498331478,0.8083217463848721,0.5770653735632184,0.8880615542916017,0.9343202227011493
jasper: embedding,van_der_Waal_2022,100,0.225,0.6480683435597498,0.8196511655722607,0.5604536829394514,0.8951490520729818,0.9342349491116093
jasper: embedding,van_der_Waal_2022,200,0.05,0.6879591982211121,0.8354189453363974,0.5448409158489443,0.8992733131081946,0.9340677966101695
jasper: embedding + lexical,Sep_2021,25,0.05,0.14187148517164236,0.2577341119563861,0.023491655969191224,0.5660500187438853,0.8092479674796751
jasper: embedding + lexical,Sep_2021,50,0.0,0.2118023115276336,0.3627713907636232,0.06877828054298638,0.6508756009767858,0.8098642533936651
jasper: embedding + lexical,Sep_2021,100,0.0,0.255116684366497,0.39710582200574707,0.13845029239766077,0.694731174547464,0.8079166666666667
jasper: embedding + lexical,Sep_2021,200,0.0,0.2838055000555001,0.4218757284382285,0.178169014084507,0.7235230685949815,0.8054929577464789
jasper: embedding + lexical,Menon_2022,25,0.15,0.415936849046648,0.6072574149553756,0.25566563467492254,0.8037720412471063,0.8782941176470588
jasper: embedding + lexical,Menon_2022,50,0.0,0.5269777915664007,0.7096658679141432,0.34337837837837837,0.8532279571355341,0.8779797297297296
jasper: embedding + lexical,Menon_2022,100,0.0,0.6038072433600017,0.7843496235715124,0.41657142857142854,0.8877238455864548,0.8776371428571427
jasper: embedding + lexical,Menon_2022,200,0.0,0.6625133230096534,0.8376708782341783,0.5066774193548387,0.9148765906485344,0.8774629032258063
jasper: embedding + lexical,van_der_Waal_2022,25,0.575,0.4682756166982922,0.6781902277039848,0.3875926205957962,0.8215737544629524,0.9343989112354453
jasper: embedding + lexical,van_der_Waal_2022,50,0.275,0.5320587690025955,0.7380700778642937,0.43480603448275856,0.8484476009867588,0.9343202227011493
jasper: embedding + lexical,van_der_Waal_2022,100,0.225,0.6018558553709618,0.7939897377013885,0.5069259962049335,0.8775988384429365,0.9342349491116093
jasper: embedding + lexical,van_der_Waal_2022,200,0.05,0.659479244590589,0.8196118831097022,0.5065269104965804,0.8884966738360911,0.9340677966101695
qwen3-4b: embedding,Sep_2021,25,0.05,0.19424035105438756,0.32732221005754886,0.038147197261446254,0.6111199867000134,0.8092479674796751
qwen3-4b: embedding,Sep_2021,50,0.0,0.26771940387729626,0.4102256130316575,0.09671945701357462,0.6937608922046217,0.8098642533936651
qwen3-4b: embedding,Sep_2021,100,0.0,0.29311579260042525,0.46705294199803193,0.1846491228070175,0.7447385728689329,0.8079166666666667
qwen3-4b: embedding,Sep_2021,200,0.0,0.33929351898101895,0.5049323246198246,0.2665492957746478,0.7867799456700836,0.8054929577464789
