use_case,n_pos,n_neg,policy,auc,auc_sd,auc_gain
synergy_sep_2021,20,20,easy,0.6865489130434783,0.01493082268240884,0.06902173913043486
synergy_sep_2021,20,50,hard,0.6626358695652174,0.03420190782079608,0.0451086956521739
synergy_sep_2021,20,50,mixed,0.7586956521739131,0.04245874999718258,0.14116847826086965
synergy_sep_2021,20,50,random,0.7789402173913044,0.036529967208489375,0.1614130434782609
synergy_sep_2021,20,50,easy,0.7194293478260869,0.015389889934395794,0.10190217391304346
synergy_van_der_valk_2021,10,10,hard,0.3163511187607573,0.06253794203498544,-0.5641996557659209
synergy_van_der_valk_2021,10,10,mixed,0.6213195639701663,0.09940245803335507,-0.2592312105565119
synergy_van_der_valk_2021,10,10,random,0.8315547905909352,0.026781224542520462,-0.048995983935743004
synergy_van_der_valk_2021,10,10,easy,0.850005737234653,0.006443872352729437,-0.03054503729202518
synergy_van_der_valk_2021,10,20,hard,0.26480780263912795,0.0420140729505486,-0.6157429718875502
synergy_van_der_valk_2021,10,20,mixed,0.747814113597246,0.048629683561432324,-0.13273666092943215
synergy_van_der_valk_2021,10,20,random,0.843694779116466,0.014178915873642737,-0.03685599541021223
synergy_van_der_valk_2021,10,20,easy,0.8606310958118188,0.005159480800977935,-0.019919678714859335
synergy_van_der_valk_2021,10,50,hard,0.4724268502581756,0.1024336459869084,-0.4081239242685026
synergy_van_der_valk_2021,10,50,mixed,0.776087205966724,0.043612983121243364,-0.1044635685599542
synergy_van_der_valk_2021,10,50,random,0.8497074010327023,0.012171897240075695,-0.030843373493975923
synergy_van_der_valk_2021,10,50,easy,0.8610900745840506,0.0056262822809516055,-0.019460699942627557
synergy_van_der_valk_2021,20,10,hard,0.3380149168100975,0.07061561812239248,-0.5425358577165806
synergy_van_der_valk_2021,20,10,mixed,0.6856913367756741,0.09013665343007787,-0.19485943775100412
synergy_van_der_valk_2021,20,10,random,0.8429145152036718,0.02181332529040145,-0.037636259323006405
synergy_van_der_valk_2021,20,10,easy,0.854136546184739,0.0043605398972855584,-0.026414228341939183
synergy_van_der_valk_2021,20,20,hard,0.26265060240963856,0.06391302063819267,-0.6179001721170396
synergy_van_der_valk_2021,20,20,mixed,0.7759036144578314,0.06862104883438272,-0.10464716006884678
synergy_van_der_valk_2021,20,20,random,0.8461732644865174,0.02069691477461544,-0.034377510040160764
synergy_van_der_valk_2021,20,20,easy,0.8632013769363167,0.004835859240923643,-0.01734939759036147
synergy_van_der_valk_2021,20,50,hard,0.5480895008605853,0.1290009137193895,-0.3324612736660929
synergy_van_der_valk_2021,20,50,mixed,0.8174870912220309,0.028417755098672236,-0.06306368330464729
synergy_van_der_valk_2021,20,50,random,0.8667814113597248,0.015925802822679865,-0.01376936316695343
synergy_van_der_valk_2021,20,50,easy,0.8646930579460701,0.004008779558247339,-0.015857716580608083
synergy_van_dis_2020,10,10,hard,0.5328620689655172,0.07821181068034586,-0.3641494252873563
synergy_van_dis_2020,10,10,mixed,0.7022873563218391,0.1098521412248986,-0.19472413793103438
synergy_van_dis_2020,10,10,random,0.879735632183908,0.05429866808732608,-0.017275862068965475
synergy_van_dis_2020,10,10,easy,0.9270574712643679,0.00972561875629991,0.030045977011494363
synergy_van_dis_2020,10,20,hard,0.5099885057471265,0.09128294202834819,-0.387022988505747
synergy_van_dis_2020,10,20,mixed,0.7894712643678161,0.08434660543296615,-0.1075402298850574
synergy_van_dis_2020,10,20,random,0.8845172413793104,0.03512747109869142,-0.012494252873563094
synergy_van_dis_2020,10,20,easy,0.9245287356321839,0.01139818474165696,0.02751724137931033
synergy_van_dis_2020,10,50,hard,0.5740919540229885,0.11143801994652601,-0.322919540229885
synergy_van_dis_2020,10,50,mixed,0.8110919540229885,0.07529693718102996,-0.08591954022988502
synergy_van_dis_2020,10,50,random,0.9052413793103448,0.026386243548351958,0.008229885057471242
synergy_van_dis_2020,10,50,easy,0.9251034482758621,0.01172027206942845,0.028091954022988586
synergy_van_dis_2020,20,10,hard,0.5450689655172414,0.0241535362801565,-0.35194252873563214
synergy_van_dis_2020,20,10,mixed,0.8351149425287356,0.030188140400630774,-0.06189655172413788
synergy_van_dis_2020,20,10,random,0.8876781609195401,0.02047270029233748,-0.009333333333333416
synergy_van_dis_2020,20,10,easy,0.9302873563218391,0.007434924886802871,0.0332758620689656
synergy_van_dis_2020,20,20,hard,0.509632183908046,0.02776818806590502,-0.38737931034482753
synergy_van_dis_2020,20,20,mixed,0.8736551724137931,0.015426494976453825,-0.02335632183908043
synergy_van_dis_2020,20,20,random,0.9205977011494253,0.01498220197458966,0.023586206896551776
synergy_van_dis_2020,20,20,easy,0.9289770114942529,0.006914860753979678,0.031965517241379415
synergy_van_dis_2020,20,50,hard,0.6375747126436783,0.03722836440667016,-0.25943678160919525
synergy_van_dis_2020,20,50,mixed,0.9008735632183908,0.015944952537658902,0.003862068965517329
synergy_van_dis_2020,20,50,random,0.9250344827586208,0.014352203011116279,0.02802298850574725
synergy_van_dis_2020,20,50,easy,0.9299310344827585,0.006739044288947256,0.03291954022988497
