use_case,n_pos,n_neg,policy,auc,auc_sd,auc_gain
synergy_jeyaraman_2020,20,50,random,0.8764713311442284,0.014577878210522985,0.09628694114675418
synergy_jeyaraman_2020,20,50,easy,0.8717226572366759,0.004377631097538346,0.09153826723920166
synergy_menon_2022,10,10,hard,0.8374301675977653,0.054101145031565066,0.07411545623836135
synergy_menon_2022,10,10,mixed,0.9029608938547486,0.02987526475342542,0.13964618249534466
synergy_menon_2022,10,10,random,0.9009310986964618,0.05364673634236272,0.13761638733705783
synergy_menon_2022,10,10,easy,0.9213221601489758,0.0228516736389712,0.15800744878957185
synergy_menon_2022,10,20,hard,0.9038361266294228,0.03117678840222213,0.14052141527001882
synergy_menon_2022,10,20,mixed,0.9074674115456238,0.044431553706937195,0.14415270018621984
synergy_menon_2022,10,20,random,0.922122905027933,0.02973122796852972,0.15880819366852905
synergy_menon_2022,10,20,easy,0.906294227188082,0.026783396709943064,0.14297951582867796
synergy_menon_2022,10,50,hard,0.9227188081936687,0.0241124003154245,0.1594040968342647
synergy_menon_2022,10,50,mixed,0.9288268156424581,0.030285914154384055,0.16551210428305407
synergy_menon_2022,10,50,random,0.9384916201117319,0.015936819763182977,0.17517690875232794
synergy_menon_2022,10,50,easy,0.9166294227188082,0.024536003611641374,0.15331471135940422
synergy_menon_2022,20,10,hard,0.8460893854748603,0.046396714378186765,0.08277467411545636
synergy_menon_2022,20,10,mixed,0.9070949720670392,0.02265693562150188,0.14378026070763517
synergy_menon_2022,20,10,random,0.9279329608938548,0.016077138590229755,0.1646182495344508
synergy_menon_2022,20,10,easy,0.9312476722532589,0.009729264093739831,0.1679329608938549
synergy_menon_2022,20,20,hard,0.9114338919925512,0.024142252679109535,0.14811918063314722
synergy_menon_2022,20,20,mixed,0.9283054003724395,0.01962733083728099,0.16499068901303549
synergy_menon_2022,20,20,random,0.9494413407821229,0.012077753479532202,0.18612662942271896
synergy_menon_2022,20,20,easy,0.9157728119180634,0.013740013701456028,0.15245810055865938
synergy_menon_2022,20,50,hard,0.9314711359404096,0.014083556472379933,0.16815642458100566
synergy_menon_2022,20,50,mixed,0.9427374301675977,0.013764523703314725,0.17942271880819372
synergy_menon_2022,20,50,random,0.9513966480446927,0.007325563598797371,0.18808193668528872
synergy_menon_2022,20,50,easy,0.9223463687150838,0.013066868065233937,0.1590316573556798
synergy_radjenovic_2013,10,10,hard,0.4038703703703703,0.020409591870716517,-0.5689074074074074
synergy_radjenovic_2013,10,10,mixed,0.9645370370370371,0.018282946096562853,-0.00824074074074066
synergy_radjenovic_2013,10,10,random,0.9795925925925927,0.01133911133273617,0.00681481481481494
synergy_radjenovic_2013,10,10,easy,0.976611111111111,0.0026356217592084672,0.0038333333333332442
synergy_radjenovic_2013,10,20,hard,0.6732777777777779,0.048806629730233836,-0.2994999999999999
synergy_radjenovic_2013,10,20,mixed,0.9667962962962962,0.013011101095398383,-0.0059814814814815875
synergy_radjenovic_2013,10,20,random,0.9844074074074074,0.003209959638050767,0.011629629629629656
synergy_radjenovic_2013,10,20,easy,0.9791481481481481,0.0028293969266347074,0.00637037037037036
synergy_radjenovic_2013,10,50,hard,0.8926111111111112,0.03566406090246691,-0.0801666666666665
synergy_radjenovic_2013,10,50,mixed,0.9739444444444445,0.006992941767804234,0.0011666666666667602
synergy_radjenovic_2013,10,50,random,0.983962962962963,0.004185103244035643,0.011185185185185298
synergy_radjenovic_2013,10,50,easy,0.9795370370370371,0.0029414729940091776,0.006759259259259354
synergy_radjenovic_2013,20,10,hard,0.45555555555555555,0.08673054784024718,-0.5172222222222222
synergy_radjenovic_2013,20,10,mixed,0.9678148148148148,0.014282760815604815,-0.004962962962962947
synergy_radjenovic_2013,20,10,random,0.9804259259259259,0.004129920268795998,0.007648148148148182
synergy_radjenovic_2013,20,10,easy,0.9760740740740742,0.0009307282868984807,0.0032962962962964637
synergy_radjenovic_2013,20,20,hard,0.7226851851851851,0.07356135052328315,-0.25009259259259264
synergy_radjenovic_2013,20,20,mixed,0.9658888888888889,0.007186187406238857,-0.006888888888888833
synergy_radjenovic_2013,20,20,random,0.9818888888888889,0.003291194553839186,0.009111111111111181
synergy_radjenovic_2013,20,20,easy,0.9785555555555556,0.0007041908645122803,0.005777777777777882
synergy_radjenovic_2013,20,50,hard,0.9387222222222222,0.029062949039261494,-0.034055555555555506
synergy_radjenovic_2013,20,50,mixed,0.9779814814814815,0.00267424335157243,0.00520370370370371
synergy_radjenovic_2013,20,50,random,0.985425925925926,0.0008578692460666856,0.012648148148148297
synergy_radjenovic_2013,20,50,easy,0.9794444444444445,0.0008586683792125158,0.00666666666666671
