arm,fold,n,pos_rate,roc_auc,avg_precision,f2,f1,recall,precision,pred_pos_rate,recall_at_10pct,recall_at_20pct,wss_at_95,auc_ci_low,auc_ci_high
optimised,test/tech_forecasting,54.0,0.5925925925925926,0.8295454545454545,0.8707086409265014,0.7371794871794872,0.7666666666666667,0.71875,0.8214285714285714,0.5185185185185185,0.125,0.3125,0.0981481481481481,,
prose_only,validate/fold1,296.0,0.5743243243243243,0.8622782446311857,0.870190972914705,0.8108108108108109,0.8093841642228738,0.8117647058823529,0.8070175438596491,0.5777027027027027,0.16470588235294117,0.3352941176470588,0.1594594594594594,,
prose_only,validate/fold2,297.0,0.5791245791245792,0.8804186046511627,0.8947499384169775,0.8215962441314554,0.8333333333333334,0.813953488372093,0.8536585365853658,0.5521885521885522,0.1686046511627907,0.32558139534883723,0.22272727272727266,,
prose_only,validate/fold3,294.0,0.5748299319727891,0.874603550295858,0.8786835167887441,0.8558030480656507,0.8439306358381503,0.863905325443787,0.8248587570621468,0.6020408163265306,0.15384615384615385,0.31952662721893493,0.22891156462585027,,
prose_only,validate/fold4,296.0,0.5777027027027027,0.8634385964912282,0.8938812187939251,0.799059929494712,0.8047337278106509,0.7953216374269005,0.8143712574850299,0.5641891891891891,0.17543859649122806,0.3333333333333333,0.1932432432432432,,
prose_only,validate/fold5,295.0,0.576271186440678,0.8792470588235295,0.8905452599325792,0.8244994110718492,0.8259587020648967,0.8235294117647058,0.8284023668639053,0.5728813559322034,0.16470588235294117,0.3235294117647059,0.19745762711864404,,
prose_only,validate,295.6,0.5764505449130146,0.8719972109785928,0.8856101813693862,0.8223538887148957,0.823468112653981,0.8216949137779679,0.8256616923712194,0.5738005232678356,0.16546023324121098,0.32745297706257404,0.20035983343489394,,
prose_only,validate_sd,1.1401754250991378,0.0019935977434207986,0.008631068279842509,0.010747451918636772,0.021212465300045585,0.0163674619947385,0.025686439211750848,0.017797875444680006,0.018527284350903284,0.00783390113440935,0.006666826084020393,0.027601689003063104,,
prose_only,train,1478.0,0.5764546684709067,0.9062064077757278,0.9253050026360378,0.8454844778927564,0.847877358490566,0.8438967136150235,0.8518957345971564,0.571041948579161,0.17018779342723006,0.3368544600938967,0.23281461434370765,,
prose_only,test,370.0,0.5756756756756757,0.8693220896504291,0.878864046850172,0.7929724596391263,0.8067632850241546,0.784037558685446,0.8308457711442786,0.5432432432432432,0.1596244131455399,0.323943661971831,0.1716216216216216,0.8325955049603639,0.9039814190223069
prose_only,test/carbon_capture,58.0,0.5,0.8763376932223543,0.890414748821616,0.7446808510638298,0.7777777777777778,0.7241379310344828,0.84,0.43103448275862066,0.20689655172413793,0.3793103448275862,0.19137931034482755,,
prose_only,test/cement_binders,52.0,0.6538461538461539,0.9362745098039216,0.9567305677907258,0.8433734939759037,0.875,0.8235294117647058,0.9333333333333333,0.5769230769230769,0.14705882352941177,0.29411764705882354,0.2769230769230769,,
prose_only,test/ner,63.0,0.7142857142857143,0.7901234567901234,0.8822317545281217,0.8222222222222222,0.8222222222222222,0.8222222222222222,0.8222222222222222,0.7142857142857143,0.1111111111111111,0.26666666666666666,0.07698412698412693,,
prose_only,test/soil_microbiome,71.0,0.2535211267605634,0.8060796645702306,0.6672547878361706,0.5294117647058824,0.5806451612903226,0.5,0.6923076923076923,0.18309859154929578,0.3333333333333333,0.5,0.020422535211267565,,
prose_only,test/solar_leo,72.0,0.7638888888888888,0.7647058823529411,0.8835193813092215,0.8781362007168458,0.8596491228070176,0.8909090909090909,0.8305084745762712,0.8194444444444444,0.09090909090909091,0.21818181818181817,0.04722222222222218,,
prose_only,test/tech_forecasting,54.0,0.5925925925925926,0.8238636363636364,0.8765860060041233,0.732484076433121,0.7540983606557377,0.71875,0.7931034482758621,0.5370370370370371,0.15625,0.3125,0.0981481481481481,,
