use_case,variant,reader_d_auc,reader_d_f2_own,reader_d_screened_own,reader_d_recall_own,matcher_fitted_d,matcher_unfitted_worst_d,matcher_d_bm25_obj,matcher_d_bm25_nice,matcher_d_overlap_must_frac
leenaars_2020,only_name,-0.05568115942028984,0.1139995477816734,0.005149031296572281,0.09565217391304348,-0.07606376811594195,,-0.054166666666666696,-0.12528623188405796,
leenaars_2020,shuffled,-0.2714202898550725,-0.021085035949986293,-0.010633383010432191,-0.017391304347826087,,,,,
leenaars_2020,vague_objective,0.052246376811594164,0.19607451709617002,0.024046199701937408,0.17391304347826086,0.013782608695652065,-0.1731086956521739,-0.1731086956521739,0.0,0.0
moran_2021,conflicting,-0.0019696969696969546,-0.0013078638127343514,0.013048709489617671,0.0,0.006219696969696931,0.0,0.0,0.0,0.048901515151515085
moran_2021,conflicting_prose,-0.051969696969696944,0.005948554428280708,0.12493304870948965,0.045454545454545456,,,,,
moran_2021,fluff_replace,-0.021818181818181848,0.01237312258493551,0.06295167863380555,0.045454545454545456,-0.0038333333333333552,-0.00708333333333333,-0.00708333333333333,0.0,0.0
moran_2021,full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
moran_2021,keyword_flood,-0.003257575757575737,0.00035232302598902504,-0.0032621773724044734,0.0,-0.01169696969696965,0.0,0.0,0.12412878787878784,0.13443181818181826
moran_2021,only_name,-0.07515151515151508,0.005948554428280708,0.12493304870948965,0.045454545454545456,0.0157613636363636,,-0.09102272727272731,0.02250000000000002,
moran_2021,shuffled,0.0675,-0.022715089179440123,-0.12819522608189401,-0.045454545454545456,,,,,
moran_2021,vague_objective,-0.010303030303030258,0.02912380934764397,0.06718416456433143,0.0909090909090909,-0.025181818181818194,-0.08776515151515152,-0.08776515151515152,0.0,0.0
muthu_2021,conflicting,0.11151741293532336,0.2916826514803828,0.05390749007936506,0.26865671641791045,-0.019358208955223777,-0.0020522388059701635,0.0,0.0,-0.0020522388059701635
muthu_2021,conflicting_prose,0.14624378109452718,0.09270980858325013,0.05784722222222222,0.08955223880597016,,,,,
muthu_2021,fluff_replace,0.1169154228855721,-0.05471710043141394,-0.008498263888888887,-0.04477611940298507,-0.011564676616915293,-0.14626865671641787,-0.14626865671641787,0.0,0.0
muthu_2021,full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
muthu_2021,keyword_flood,0.013805970149253666,-0.05471710043141394,-0.008498263888888887,-0.04477611940298507,-0.05354228855721388,-0.0671641791044777,0.0,-0.0671641791044777,-0.06435323383084568
muthu_2021,only_name,0.006368159203980039,-0.001224382573405014,0.011671626984126984,0.0,-0.1866169154228854,,-0.14013681592039795,-0.06179104477611941,
muthu_2021,shuffled,-0.08604477611940309,-0.05471710043141394,-0.011416170634920631,-0.04477611940298507,,,,,
muthu_2021,vague_objective,0.1247263681592039,-0.05471710043141394,-0.008498263888888887,-0.04477611940298507,0.0012089552238805368,-0.14057213930348256,-0.14057213930348256,0.0,0.0
nelson_2002,conflicting,0.00390625,0.019713261648745428,-0.041666666666666685,0.0,0.0033783783783783994,0.0,0.0,0.0,0.007179054054054057
nelson_2002,conflicting_prose,-0.017857142857142794,-0.006291466483642316,0.013888888888888895,0.0,,,,,
nelson_2002,fluff_replace,-0.0379464285714286,-0.006291466483642316,0.013888888888888895,0.0,0.021790540540540526,-0.12415540540540554,-0.12415540540540554,0.0,0.0
nelson_2002,full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nelson_2002,keyword_flood,-0.006696428571428603,0.006428237494156219,-0.013888888888888895,0.0,-0.08716216216216222,-0.11233108108108114,0.0,-0.08037725225225234,-0.11233108108108114
nelson_2002,only_name,-0.0546875,-0.04139784946236558,0.09722222222222221,0.0,-0.024465090090090014,,-0.020551801801801828,-0.04237049549549554,
nelson_2002,shuffled,-0.2862723214285714,-0.5913978494623656,-0.4027777777777778,-0.6875,,,,,
nelson_2002,vague_objective,-0.033482142857142794,-0.012450481041312966,0.02777777777777779,0.0,0.0018581081081080475,-0.061092342342342454,-0.061092342342342454,0.0,0.0
sep_2021,conflicting,0.0,0.013976240391334604,-0.01851851851851849,0.0,,-0.0268342391304347,0.0,0.0,-0.0268342391304347
sep_2021,conflicting_prose,-0.0040760869565217295,-0.10582010582010593,0.16666666666666669,0.0,,,,,
sep_2021,fluff_replace,0.013586956521739246,-0.06277463904582559,0.09259259259259262,0.0,,-0.019701086956521674,-0.019701086956521674,0.0,0.0
sep_2021,full,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
sep_2021,keyword_flood,-0.009510869565217406,0.059259259259259234,-0.07407407407407407,0.0,,-0.13111413043478248,0.0,-0.06385869565217384,-0.13111413043478248
sep_2021,only_name,-0.010869565217391353,0.013976240391334604,-0.01851851851851849,0.0,,,-0.005434782608695565,0.004076086956521785,
