use_case,n_pos,n_neg,n_labels,auc,auc_sd,recall10,recall10_sd,auc_floor,recall10_floor,auc_gain,recall10_gain
synergy_moran_2021,5,100,105,0.6052727272727273,0.029809931261855483,0.19545454545454546,0.0549229362436117,0.48750000000000004,0.13636363636363635,0.11777272727272725,0.05909090909090911
synergy_moran_2021,10,10,20,0.5860833333333334,0.04361306854000013,0.1898272727272739,0.07429817300847084,0.48750000000000004,0.13636363636363635,0.09858333333333336,0.053463636363637546
synergy_moran_2021,10,20,30,0.5864848484848485,0.03187849982586766,0.16818181818181818,0.053008653589502734,0.48750000000000004,0.13636363636363635,0.09898484848484845,0.03181818181818183
synergy_moran_2021,10,50,60,0.6164999999999999,0.04314629453225495,0.19545454545454546,0.07272727272727274,0.48750000000000004,0.13636363636363635,0.1289999999999999,0.05909090909090911
synergy_moran_2021,10,100,110,0.6209772727272727,0.04761940311260461,0.2385727272727284,0.050705922519096315,0.48750000000000004,0.13636363636363635,0.1334772727272726,0.10220909090909205
synergy_moran_2021,20,10,30,0.581780303030303,0.011405855913855817,0.1590909090909091,0.04979295977319692,0.48750000000000004,0.13636363636363635,0.09428030303030299,0.022727272727272735
synergy_moran_2021,20,20,40,0.6137878787878789,0.0457935151355133,0.17272727272727273,0.03082877265056941,0.48750000000000004,0.13636363636363635,0.12628787878787884,0.036363636363636376
synergy_moran_2021,20,50,70,0.6076136363636364,0.027202065446481037,0.1954545454545455,0.05102260072873556,0.48750000000000004,0.13636363636363635,0.12011363636363637,0.05909090909090914
synergy_moran_2021,20,100,120,0.6312424242424243,0.031398141976225674,0.20909090909090913,0.03636363636363636,0.48750000000000004,0.13636363636363635,0.14374242424242423,0.07272727272727278
synergy_moran_2021,30,10,40,0.5981515151515151,0.014417811145833312,0.1545454545454545,0.03340213285613425,0.48750000000000004,0.13636363636363635,0.11065151515151506,0.01818181818181816
synergy_moran_2021,30,20,50,0.6119621212121211,0.03814159888699696,0.15,0.0549229362436117,0.48750000000000004,0.13636363636363635,0.12446212121212108,0.013636363636363641
synergy_moran_2021,30,50,80,0.6621666666666668,0.04248435540932043,0.17727272727272728,0.026504326794751374,0.48750000000000004,0.13636363636363635,0.17466666666666675,0.04090909090909092
synergy_moran_2021,30,100,130,0.6752803030303032,0.04264313524438694,0.21363636363636362,0.04215281134316229,0.48750000000000004,0.13636363636363635,0.18778030303030313,0.07727272727272727
synergy_muthu_2021,2,10,12,0.6836865671641791,0.04890728487959847,0.22583681592039775,0.09147204039435541,0.7283955223880596,0.20535820895522325,-0.04470895522388052,0.020478606965174506
synergy_muthu_2021,2,20,22,0.6921417910447761,0.0417086418109345,0.22061492537313415,0.07824867078640775,0.7283955223880596,0.20535820895522325,-0.03625373134328347,0.015256716417910904
synergy_muthu_2021,2,50,52,0.6940771144278607,0.028878327266280045,0.2282248756218904,0.07669504205620489,0.7283955223880596,0.20535820895522325,-0.034318407960198916,0.022866666666667146
synergy_muthu_2021,2,100,102,0.6940746268656717,0.03639533919108037,0.2280487562189053,0.08559831766645323,0.7283955223880596,0.20535820895522325,-0.03432089552238793,0.022690547263682054
synergy_muthu_2021,3,10,13,0.6982114427860695,0.03232919255365048,0.25074626865671645,0.043922205879290036,0.7283955223880596,0.20535820895522325,-0.0301840796019901,0.045388059701493205
synergy_muthu_2021,3,20,23,0.7340796019900496,0.022142027055906625,0.27228159203980073,0.04015610705531932,0.7283955223880596,0.20535820895522325,0.005684079601990022,0.06692338308457749
synergy_muthu_2021,3,50,53,0.7228308457711442,0.014406276959068539,0.2701492537313433,0.0493666728613171,0.7283955223880596,0.20535820895522325,-0.005564676616915398,0.06479104477612005
synergy_muthu_2021,3,100,103,0.7181741293532339,0.014449146675753309,0.2655343283582086,0.06242555885418596,0.7283955223880596,0.20535820895522325,-0.010221393034825721,0.06017611940298537
synergy_muthu_2021,5,10,15,0.7313830845771144,0.029807220962783786,0.2671641791044776,0.047527412919673606,0.7283955223880596,0.20535820895522325,0.0029875621890548265,0.06180597014925435
synergy_muthu_2021,5,20,25,0.7272810945273631,0.03990688463909433,0.24840099502487534,0.060289010269601505,0.7283955223880596,0.20535820895522325,-0.0011144278606964875,0.04304278606965209
synergy_muthu_2021,5,50,55,0.7429950248756219,0.021056897876808735,0.2781472636815916,0.047142626076474604,0.7283955223880596,0.20535820895522325,0.014599502487562255,0.07278905472636835
