,carbon_capture,cement_binders,ner,nykvist_evcharging,roadfreight_metareview,soil_microbiome,solar_leo,synergy_appenzeller-herzog_2019,synergy_bos_2018,synergy_brouwer_2019,synergy_chou_2003,synergy_chou_2004,synergy_donners_2021,synergy_hall_2012,synergy_jeyaraman_2020,synergy_leenaars_2019,synergy_leenaars_2020,synergy_meijboom_2021,synergy_menon_2022,synergy_moran_2021,synergy_muthu_2021,synergy_nelson_2002,synergy_oud_2018,synergy_radjenovic_2013,synergy_sep_2021,synergy_smid_2020,synergy_van_de_schoot_2018,synergy_van_der_valk_2021,synergy_van_der_waal_2022,synergy_van_dis_2020,synergy_walker_2018,synergy_wassenaar_2017,synergy_wolters_2018,tech_forecasting
synergy_muthu_2021,0.5298335938218259,0.42084398976982096,0.494482793369275,0.6457954545454546,0.4266822899229996,0.3843944664671143,0.47084337349397587,0.7997435897435897,0.5742,0.5326666666666667,0.5384888888888889,0.5345185185185185,0.48312757201646095,0.7524455128205129,0.7622702347852951,0.3834117647058824,0.6050332187857961,0.74143611066688,0.41221465638779736,0.5539159159159159,0.6360019841269842,0.5824737762237762,0.6516630901287553,0.6602083333333333,0.45259740259740255,0.6075061728395061,0.6164385964912281,0.5510741290368172,0.5422828282828283,0.49464814814814817,0.41673026315789474,0.5331921921921922,0.6067719298245614,0.438954699684505
synergy_nelson_2002,0.5532315895927187,0.390920716112532,0.45069783846425154,0.5937333333333332,0.4732172748577168,0.4534827279346332,0.5130777656078861,0.7607692307692309,0.7548666666666667,0.4764301075268817,0.6587555555555555,0.4822222222222222,0.39917695473251025,0.6534583333333334,0.6315936824219958,0.5940784313725489,0.4265166093928981,0.6009915240684472,0.5207727150013498,0.6159819819819821,0.5849146825396825,0.4973339160839161,0.530793991416309,0.5772083333333333,0.43777056277056275,0.5550864197530865,0.6165087719298246,0.5237085718323794,0.4164040404040404,0.4935462962962963,0.42684517543859646,0.6832432432432431,0.7189824561403508,0.4551461396511697
synergy_oud_2018,0.5448193435689989,0.4687979539641943,0.4939285534337683,0.5056333333333334,0.45882156009373953,0.39321252325863604,0.5382694414019715,0.7702051282051281,0.8488666666666667,0.5214301075268818,0.7557777777777778,0.48266666666666663,0.3607681755829904,0.6813173076923078,0.6830495057151683,0.38694117647058823,0.45132416953035515,0.5886454501839118,0.3751987281399046,0.6062522522522522,0.5658154761904762,0.5158216783216784,0.7318669527896995,0.548236111111111,0.4699134199134199,0.6021728395061727,0.4839649122807018,0.5223305773443573,0.5847878787878789,0.612824074074074,0.44594517543859646,0.6779579579579579,0.7049824561403508,0.45621763200190485
synergy_radjenovic_2013,0.511400202261653,0.5521739130434783,0.49765707663626735,0.5527484848484849,0.5083696016069635,0.4055092630046113,0.468565169769989,0.6808974358974359,0.5748,0.45212903225806456,0.7350222222222222,0.5672592592592592,0.32674897119341567,0.9382147435897437,0.5770292709298733,0.5558039215686275,0.4152187857961054,0.4304173996481689,0.4599994000659927,0.5612672672672673,0.518154761904762,0.42460664335664333,0.4407725321888412,0.9230694444444445,0.4238095238095238,0.5513086419753087,0.5235263157894736,0.489629708147834,0.5193131313131313,0.44117592592592597,0.4626469298245614,0.5442612612612612,0.5317543859649122,0.44038335615215196
synergy_sep_2021,0.48487634458030704,0.3767902813299233,0.4840530054920139,0.5619969696969697,0.3838299296953465,0.47593236793139715,0.5099233296823659,0.7403333333333333,0.7064666666666667,0.4481720430107527,0.6406666666666667,0.42007407407407404,0.31522633744855966,0.6330865384615385,0.5075108124806921,0.6181176470588235,0.39376059564719357,0.49640172717095793,0.40014098449170593,0.5791531531531532,0.5198492063492063,0.40633741258741257,0.38927038626609445,0.6302222222222221,0.44469696969696965,0.533679012345679,0.5078421052631579,0.4978976750759664,0.30238383838383837,0.37849074074074074,0.5557521929824562,0.6806276276276275,0.6116491228070176,0.5254479433299601
synergy_smid_2020,0.4588351567527811,0.5065217391304347,0.48485917267093265,0.5401484848484849,0.5826916638767994,0.5185664590243507,0.5130777656078861,0.5623461538461538,0.4133333333333333,0.4895913978494623,0.42408888888888885,0.4737037037037037,0.3382716049382716,0.6298814102564103,0.3826652764905777,0.6118431372549019,0.32793069873997704,0.4675835598912522,0.4746827848936617,0.6147147147147146,0.5356121031746031,0.3963723776223776,0.2862124463519313,0.5715555555555556,0.5715367965367966,0.9059012345679013,0.41973684210526313,0.5062186417920995,0.43125252525252533,0.42084259259259266,0.4693162280701755,0.6116966966966967,0.4593333333333333,0.4253824632418597
synergy_van_de_schoot_2018,0.4185437160981888,0.3932864450127877,0.47961908600796094,0.6027924242424242,0.5405088717777035,0.5460318744438153,0.5342387732749179,0.6636410256410257,0.33973333333333333,0.4736021505376344,0.4223111111111111,0.5138518518518518,0.24389574759945132,0.734125,0.4580244053135619,0.37568627450980396,0.32014261168384883,0.3810331041100272,0.41005489396166417,0.5916756756756757,0.49722222222222223,0.3660402097902098,0.42381974248927035,0.5838888888888889,0.4317099567099567,0.7684444444444444,0.7959649122807018,0.5018373259840294,0.34220202020202023,0.43725,0.46975657894736844,0.6166186186186187,0.5351929824561403,0.5061015536639085
synergy_van_der_valk_2021,0.46743127700652753,0.4505115089514067,0.4923162190759308,0.5818378787878787,0.48158687646468024,0.39515411374484266,0.6050821467688938,0.8461794871794871,0.8135333333333334,0.5265376344086022,0.6376444444444445,0.7334074074074074,0.6595336076817557,0.6752916666666666,0.6814276336113685,0.5141960784313726,0.6448636884306987,0.7918758995682073,0.6239763626001139,0.4936936936936937,0.5152242063492063,0.5790646853146852,0.5633583690987125,0.6624861111111111,0.5201298701298702,0.49407407407407405,0.6943508771929825,0.7785845523284574,0.5119393939393939,0.5008425925925926,0.44987894736842104,0.6200930930930929,0.6453333333333333,0.4414846121792964
synergy_van_der_waal_2022,0.5269605589776593,0.39629156010230177,0.4661157857610722,0.5521393939393939,0.4732172748577168,0.39984629075317535,0.5407228915662652,0.8471282051282051,0.6592666666666667,0.4829569892473118,0.6902222222222222,0.6136296296296296,0.47023319615912207,0.6901698717948718,0.7350266450417051,0.6972941176470588,0.5806769759450172,0.6840876379337918,0.41152473227944925,0.5152972972972973,0.5373015873015873,0.5828671328671329,0.5910407725321888,0.6379444444444444,0.42987012987012985,0.4570864197530864,0.6319473684210526,0.5843049961133491,0.7791515151515152,0.4922037037037037,0.42916491228070175,0.5997807807807808,0.537719298245614,0.45603904994344907
synergy_van_dis_2020,0.475958444424014,0.4074168797953964,0.41049025041567994,0.5271424242424243,0.4337127552728489,0.49680446565811825,0.5050164293537788,0.827923076923077,0.8012666666666667,0.633247311827957,0.7975555555555556,0.6873333333333334,0.35171467764060355,0.613426282051282,0.7537167902378745,0.35384313725490196,0.543061855670103,0.7168399168399169,0.39150193478717343,0.5813213213213213,0.6443095238095238,0.4715034965034965,0.5908261802575107,0.5335555555555554,0.472077922077922,0.4591358024691358,0.5024736842105263,0.5225425764963607,0.4138989898989899,0.837212962962963,0.467998245614035,0.6439159159159159,0.6043508771929824,0.4442526340853622
