variant,use_case,recall_at_10pct,recall_at_20pct,wss_at_95,roc_auc,wss_ceiling
jasper: embedding PCA-64,ner,0.09865470852017937,0.18385650224215247,0.020512820512820468,0.5028971632992392,0.2709935897435897
jasper: embedding PCA-64,soil_microbiome,0.1702127659574468,0.2765957446808511,0.03963585434173665,0.6190437666855433,0.6998599439775911
jasper: embedding PCA-64,solar_leo,0.11956521739130435,0.2210144927536232,0.041666666666666616,0.6502329192546584,0.2216666666666666
jasper: embedding PCA-64,tech_forecasting,0.1464968152866242,0.2611464968152866,0.059848484848484804,0.6662896600988154,0.38503787878787876
jasper: PCA-64 + lexical,carbon_capture,0.12244897959183673,0.2108843537414966,0.007239057239057198,0.5224489795918368,0.4797979797979797
jasper: PCA-64 + lexical,cement_binders,0.12352941176470589,0.2235294117647059,0.08358778625954194,0.6546035805626598,0.333587786259542
jasper: PCA-64 + lexical,ner,0.1031390134529148,0.20179372197309417,0.026923076923076883,0.5361515594296368,0.2709935897435897
jasper: PCA-64 + lexical,soil_microbiome,0.13829787234042554,0.26595744680851063,0.00042016806722684763,0.5802928565650028,0.6998599439775911
jasper: PCA-64 + lexical,solar_leo,0.10869565217391304,0.213768115942029,0.00833333333333329,0.5870859213250518,0.2216666666666666
jasper: PCA-64 + lexical,tech_forecasting,0.1464968152866242,0.25477707006369427,0.033333333333333284,0.6283707363533543,0.38503787878787876
qwen3-4b: cosine-to-brief (0 labels),carbon_capture,0.17687074829931973,0.32653061224489793,0.16212121212121208,0.7980498866213153,0.4797979797979797
qwen3-4b: cosine-to-brief (0 labels),cement_binders,0.12352941176470589,0.2529411764705882,0.21717557251908393,0.8341432225063938,0.333587786259542
qwen3-4b: cosine-to-brief (0 labels),ner,0.13452914798206278,0.2600896860986547,0.06858974358974354,0.7513478107522547,0.2709935897435897
qwen3-4b: cosine-to-brief (0 labels),soil_microbiome,0.11702127659574468,0.2553191489361702,-0.019187675070028054,0.5195372542674541,0.6998599439775911
qwen3-4b: cosine-to-brief (0 labels),solar_leo,0.11956521739130435,0.2210144927536232,0.01666666666666662,0.5888112491373361,0.2216666666666666
qwen3-4b: cosine-to-brief (0 labels),tech_forecasting,0.1464968152866242,0.25477707006369427,0.033333333333333284,0.628906482528722,0.38503787878787876
qwen3-4b: embedding,carbon_capture,0.12244897959183673,0.25170068027210885,0.02070707070707066,0.6268480725623583,0.4797979797979797
qwen3-4b: embedding,cement_binders,0.08823529411764706,0.19411764705882353,0.049236641221374,0.5937340153452686,0.333587786259542
qwen3-4b: embedding,ner,0.11210762331838565,0.21076233183856502,0.0012820512820512359,0.5000251927243411,0.2709935897435897
qwen3-4b: embedding,soil_microbiome,0.031914893617021274,0.11702127659574468,0.02002801120448175,0.45570746703341153,0.6998599439775911
qwen3-4b: embedding,solar_leo,0.10144927536231885,0.213768115942029,0.01388888888888884,0.6077467218771567,0.2216666666666666
qwen3-4b: embedding,tech_forecasting,0.1464968152866242,0.28662420382165604,0.04090909090909087,0.6959938091553068,0.38503787878787876
qwen3-4b: embedding PCA-64,carbon_capture,0.09523809523809523,0.19047619047619047,0.02070707070707066,0.5469387755102041,0.4797979797979797
qwen3-4b: embedding PCA-64,cement_binders,0.11176470588235295,0.23529411764705882,0.08740458015267172,0.6983375959079284,0.333587786259542
qwen3-4b: embedding PCA-64,ner,0.11659192825112108,0.20179372197309417,0.014102564102564052,0.5465309618582154,0.2709935897435897
qwen3-4b: embedding PCA-64,soil_microbiome,0.1595744680851064,0.2553191489361702,0.00882352941176466,0.5821130976458214,0.6998599439775911
qwen3-4b: embedding PCA-64,solar_leo,0.09782608695652174,0.2210144927536232,0.01388888888888884,0.6239216701173221,0.2216666666666666
qwen3-4b: embedding PCA-64,tech_forecasting,0.12101910828025478,0.2484076433121019,0.052272727272727235,0.6434906839692839,0.38503787878787876
qwen3-4b: PCA-64 + lexical,carbon_capture,0.1360544217687075,0.23129251700680273,0.0375420875420875,0.6160997732426303,0.4797979797979797
qwen3-4b: PCA-64 + lexical,cement_binders,0.11764705882352941,0.2235294117647059,0.07213740458015262,0.6888107416879796,0.333587786259542
qwen3-4b: PCA-64 + lexical,ner,0.11659192825112108,0.2242152466367713,0.01730769230769226,0.5729329369678037,0.2709935897435897
qwen3-4b: PCA-64 + lexical,soil_microbiome,0.14893617021276595,0.26595744680851063,0.036834733893557375,0.5675916188010679,0.6998599439775911
qwen3-4b: PCA-64 + lexical,solar_leo,0.10507246376811594,0.20652173913043478,0.01388888888888884,0.5810904071773637,0.2216666666666666
qwen3-4b: PCA-64 + lexical,tech_forecasting,0.12738853503184713,0.24203821656050956,0.03712121212121208,0.6305137210548247,0.38503787878787876
qwen3-8b: cosine-to-brief (0 labels),carbon_capture,0.14965986394557823,0.30612244897959184,0.12171717171717167,0.7229024943310658,0.4797979797979797
qwen3-8b: cosine-to-brief (0 labels),cement_binders,0.12941176470588237,0.2529411764705882,0.21717557251908393,0.8428388746803069,0.333587786259542
qwen3-8b: cosine-to-brief (0 labels),ner,0.12556053811659193,0.24663677130044842,0.06538461538461535,0.7224769486572278,0.2709935897435897
qwen3-8b: cosine-to-brief (0 labels),soil_microbiome,0.1595744680851064,0.24468085106382978,0.011624649859943936,0.5274249656176685,0.6998599439775911
qwen3-8b: cosine-to-brief (0 labels),solar_leo,0.12681159420289856,0.21739130434782608,0.011111111111111065,0.5169082125603863,0.2216666666666666
