variant,seed,arm,use_case,auc,wss95,f2_star,floor_f2
induced_all,1,logreg,leenaars_2020,0.9279832175925925,0.6276113842944439,0.6767779459050501,0.31946755407653904
induced_all,1,blend,leenaars_2020,0.9414374999999999,0.6501609298167211,0.6991771340135204,0.31946755407653904
induced_all,1,catboost,moran_2021,0.847891891891892,0.20732751261155197,0.41957247501284534,0.09914255091103961
induced_all,1,logreg,moran_2021,0.6219879879879879,0.10452363213037763,0.13700965765853534,0.09914255091103961
induced_all,1,blend,moran_2021,0.8182762762762762,0.22428754365540182,0.3415819037498102,0.09914255091103961
induced_all,1,catboost,muthu_2021,0.8288053892215569,0.2998119340032419,0.593962325818191,0.41511309967685805
induced_all,1,logreg,muthu_2021,0.8183493013972055,0.24026448331473615,0.5851640357129301,0.41511309967685805
induced_all,1,blend,muthu_2021,0.8432295409181637,0.34709961543234175,0.5977817976730606,0.41511309967685805
induced_all,1,catboost,nelson_2002,0.8727068345323742,0.40530726256983235,0.7419354838709679,0.5899705014749262
induced_all,1,logreg,nelson_2002,0.8913219424460431,0.4220670391061452,0.7724425887265135,0.5899705014749262
induced_all,1,blend,nelson_2002,0.8977967625899281,0.45837988826815634,0.7630522088353413,0.5899705014749262
induced_all,1,catboost,sep_2021,0.7530434782608696,0.07592592592592587,0.5636363636363637,0.46511627906976744
induced_all,1,logreg,sep_2021,0.7869565217391304,0.16851851851851848,0.6092436974789917,0.46511627906976744
induced_all,1,blend,sep_2021,0.7791304347826088,0.06851851851851848,0.587121212121212,0.46511627906976744
induced_all,1,catboost,van_der_valk_2021,0.8850759211084668,0.502112676056338,0.6460674157303371,0.41115311909262764
induced_all,1,logreg,van_der_valk_2021,0.8269496872751425,0.2866197183098591,0.5922330097087379,0.41115311909262764
induced_all,1,blend,van_der_valk_2021,0.8831755871662884,0.48380281690140836,0.6643952299829643,0.41115311909262764
induced_all,1,catboost,van_dis_2020,0.9341944444444444,0.7253749533825616,0.34250344845352376,0.03902016041621504
induced_all,1,logreg,van_dis_2020,0.9353055555555556,0.6189062430073847,0.39927881373377155,0.03902016041621504
