variant,use_case,recall_at_10pct,recall_at_20pct,wss_at_95,roc_auc,wss_ceiling,wss_sd
qwen3-4b: embedding,cement_binders,0.13999999999999999,0.28352941176470586,0.19122137404580147,0.8692519181585677,0.333587786259542,0.01024153272137308
qwen3-4b: embedding,ner,0.13811659192825113,0.26905829596412556,0.08141025641025637,0.8396080012092508,0.2709935897435897,0.016343011261515345
qwen3-4b: embedding,soil_microbiome,0.2851063829787234,0.43617021276595747,0.22507002801120443,0.7933905023865384,0.6998599439775911,0.034272255281081875
qwen3-4b: embedding,solar_leo,0.12898550724637683,0.25,0.058888888888888845,0.7991157694962042,0.2216666666666666,0.009899183156225259
qwen3-4b: embedding,tech_forecasting,0.16560509554140126,0.32611464968152865,0.11439393939393935,0.8207869516042621,0.38503787878787876,0.01215667161809183
qwen3-4b: embedding PCA-64,carbon_capture,0.19455782312925168,0.36734693877551017,0.20858585858585857,0.8679455782312926,0.4797979797979798,0.04904742824142799
qwen3-4b: embedding PCA-64,cement_binders,0.1388235294117647,0.28352941176470586,0.19885496183206103,0.878695652173913,0.333587786259542,0.01333148793631525
qwen3-4b: embedding PCA-64,ner,0.1273542600896861,0.2565022421524664,0.07628205128205125,0.8126467476192876,0.2709935897435897,0.016437027442253963
qwen3-4b: embedding PCA-64,soil_microbiome,0.27872340425531916,0.4723404255319149,0.1679271708683473,0.7928808348839091,0.6998599439775911,0.04354819000200565
qwen3-4b: embedding PCA-64,solar_leo,0.1181159420289855,0.2391304347826087,0.05499999999999996,0.7658730158730158,0.2216666666666666,0.014353345203070902
qwen3-4b: embedding PCA-64,tech_forecasting,0.16178343949044585,0.3235668789808917,0.15303030303030302,0.830454193702006,0.38503787878787876,0.02297841043651985
qwen3-4b: PCA-64 + lexical,carbon_capture,0.19727891156462585,0.3795918367346939,0.22070707070707068,0.8744761904761905,0.4797979797979798,0.016252550015013034
qwen3-4b: PCA-64 + lexical,cement_binders,0.1364705882352941,0.2823529411764706,0.20648854961832055,0.8727493606138108,0.333587786259542,0.008274611980411758
qwen3-4b: PCA-64 + lexical,ner,0.13452914798206278,0.2663677130044843,0.07051282051282047,0.8246586385851767,0.2709935897435897,0.0227315682390989
qwen3-4b: PCA-64 + lexical,soil_microbiome,0.2829787234042553,0.4553191489361702,0.21274509803921565,0.7919504894426017,0.6998599439775911,0.04412987247800108
qwen3-4b: PCA-64 + lexical,solar_leo,0.12608695652173912,0.24782608695652178,0.06166666666666663,0.7952294685990338,0.2216666666666666,0.008193267335418126
qwen3-4b: PCA-64 + lexical,tech_forecasting,0.16178343949044585,0.31719745222929935,0.13712121212121206,0.8202273944877672,0.38503787878787876,0.009877579401822198
qwen3-8b: cosine-to-brief (0 labels),carbon_capture,0.14965986394557823,0.30612244897959184,0.12171717171717167,0.7229024943310658,0.4797979797979797,
