model,variant,arm,use_case,n,auc,wss95,tie_frac,recall@10%,t_star,f2_star,f2_own,recall_own,precision_own,screened_own,coverage,floor_f2
gemma-4-31b-it,P2,B1 supplied,moran_2021,1611,0.40824324324324324,-0.01857126315921233,1.0,0.057314383559689645,0.01,0.06825649509305447,0.037838083274053656,0.08108108108108109,0.012076030689219319,0.14460186263096625,1.0,0.09914255091103961
gemma-4-31b-it,P2,B1 supplied,muthu_2021,1834,0.6099550898203593,0.012864142395714012,0.9994547437295529,0.2361816875088048,0.060000000000000005,0.3726137555133837,0.04415073847015729,0.03592814371257485,0.5221780627193873,0.008552536906091054,1.0,0.41511309967685805
gemma-4-31b-it,P2,B1 supplied,nelson_2002,358,0.7610161870503598,0.20698324022346365,0.9972067039106145,0.28625,0.11,0.6594488188976378,0.49645390070921985,0.525,0.4077669902912621,0.2877094972067039,1.0,0.5899705014749262
gemma-4-31b-it,P2,B1 supplied,sep_2021,270,0.9068478260869565,0.2944444444444444,0.9962962962962963,0.48269230769230764,0.76,0.7882882882882882,0.6751824817518247,0.925,0.32456140350877194,0.4222222222222222,1.0,0.46511627906976744
gemma-4-31b-it,P2,B1 supplied,van_der_valk_2021,710,0.8476504123540156,0.43873239436619715,1.0,0.4106002554278416,0.060000000000000005,0.5837912087912088,0.5197505197505198,0.5747126436781609,0.37593984962406013,0.18732394366197183,1.0,0.41115311909262764
gemma-4-31b-it,P2,B1 supplied,van_dis_2020,1572,0.9594953703703704,0.8007627358842395,1.0,0.9255071782288504,0.86,0.39927881373377155,0.2611119367386834,0.9305555555555556,0.06733839789555782,0.11131960915939433,1.0,0.03902016041621504
nemotron-3-super-120b-a12b,P2,B1 supplied,brouwer_2019,1562,0.9918225806451613,0.8965087029758563,0.9980793854033291,1.0,0.81,0.5539395966885273,0.2382485329279327,0.9032258064516129,0.06039407131533255,0.024791939609457858,1.0,0.008233950436930596
nemotron-3-super-120b-a12b,P2,B1 supplied,leenaars_2020,2076,0.8783478009259259,0.503822946967881,1.0,0.5341219271108625,0.21000000000000002,0.5649358892979559,0.4371849696542197,0.4131944444444444,0.5694324815771844,0.06227983907018327,1.0,0.31946755407653904
nemotron-3-super-120b-a12b,P2,B1 supplied,moran_2021,1611,0.4511561561561561,-0.011689377431519668,0.9981378026070763,0.09637683546409227,0.01,0.06553512007225544,0.051755701260177374,0.06306306306306306,0.030139416328674635,0.04506286379511059,1.0,0.09914255091103961
nemotron-3-super-120b-a12b,P2,B1 supplied,muthu_2021,1834,0.6982774451097804,0.03399746138591754,0.9983642311886587,0.32148034210858556,0.15000000000000002,0.47776243376733873,0.44059449476739077,0.5,0.29865871833084945,0.20810073191911677,1.0,0.41511309967685805
