variant,use_case,unfitted_bm25_nice,unfitted_bm25_obj,unfitted_overlap_must_frac,fitted_auc
conflicting,synergy_wassenaar_2017,0.6941865079365079,0.8953968253968254,0.8405753968253968,0.9253253968253968
keyword_flood,nykvist_evcharging,0.6969602272727273,0.6459848484848485,0.6693560606060607,0.7362651515151516
keyword_flood,synergy_hall_2012,0.9148780487804877,0.888170731707317,0.7760569105691058,0.9405772357723577
keyword_flood,synergy_jeyaraman_2020,0.5954155089669109,0.8129578176307148,0.6973036120232382,0.7504925486233898
keyword_flood,synergy_menon_2022,0.5157355679702048,0.514245810055866,0.5060521415270018,0.5545996275605215
keyword_flood,synergy_radjenovic_2013,0.9154629629629629,0.913148148148148,0.6841203703703704,0.9282962962962962
keyword_flood,synergy_walker_2018,0.6311741016109045,0.6722118959107807,0.6363166047087979,0.6985365551425031
keyword_flood,synergy_wassenaar_2017,0.7028174603174603,0.8953968253968254,0.6676190476190477,0.8891666666666668
must_only_one,nykvist_evcharging,0.6711695075757574,0.6459848484848485,0.47643939393939394,0.7525814393939394
must_only_one,synergy_hall_2012,0.8804471544715448,0.888170731707317,0.5227235772357725,0.9534715447154472
must_only_one,synergy_jeyaraman_2020,0.5498547613033594,0.8129578176307148,0.5071672139429149,0.7462869411467541
must_only_one,synergy_menon_2022,0.5350093109869647,0.514245810055866,0.5139664804469274,0.5409683426443203
must_only_one,synergy_radjenovic_2013,0.9687962962962963,0.913148148148148,0.5244444444444444,0.9583888888888887
must_only_one,synergy_walker_2018,0.7033054522924412,0.6722118959107807,0.6137670384138786,0.7691697645600991
must_only_one,synergy_wassenaar_2017,0.6941865079365079,0.8953968253968254,0.7189285714285714,0.9203571428571428
fluff_and_flood,nykvist_evcharging,0.6969602272727273,0.5819602272727272,0.6693560606060607,0.7105265151515152
fluff_and_flood,synergy_hall_2012,0.9148780487804877,0.6784552845528455,0.7760569105691058,0.9123170731707317
fluff_and_flood,synergy_jeyaraman_2020,0.5954155089669109,0.4198661278100531,0.6973036120232382,0.7198408689062895
fluff_and_flood,synergy_menon_2022,0.5157355679702048,0.5537243947858473,0.5060521415270018,0.5386405959031657
fluff_and_flood,synergy_radjenovic_2013,0.9154629629629629,0.6622222222222223,0.6841203703703704,0.8907962962962962
fluff_and_flood,synergy_walker_2018,0.6311741016109045,0.5492131350681537,0.6363166047087979,0.6762862453531597
fluff_and_flood,synergy_wassenaar_2017,0.7028174603174603,0.7146428571428571,0.6676190476190477,0.8455714285714286
vague_and_flood,nykvist_evcharging,0.6969602272727273,0.6416761363636363,0.6693560606060607,0.7376931818181817
vague_and_flood,synergy_hall_2012,0.9148780487804877,0.6426829268292683,0.7760569105691058,0.9322682926829268
vague_and_flood,synergy_jeyaraman_2020,0.5954155089669109,0.422202576408184,0.6973036120232382,0.7169866127810053
vague_and_flood,synergy_menon_2022,0.5157355679702048,0.5227188081936684,0.5060521415270018,0.5547858472998137
vague_and_flood,synergy_radjenovic_2013,0.9154629629629629,0.5787037037037037,0.6841203703703704,0.9109444444444446
vague_and_flood,synergy_walker_2018,0.6311741016109045,0.5226827757125154,0.6363166047087979,0.6911511771995043
vague_and_flood,synergy_wassenaar_2017,0.7028174603174603,0.6557142857142857,0.6676190476190477,0.8759126984126983
fluff_and_no_must,nykvist_evcharging,0.6711695075757574,0.5819602272727272,,0.7182537878787879
fluff_and_no_must,synergy_hall_2012,0.8804471544715448,0.6784552845528455,,0.9411869918699187
fluff_and_no_must,synergy_jeyaraman_2020,0.5498547613033594,0.4198661278100531,,0.6891260419297802
fluff_and_no_must,synergy_menon_2022,0.5350093109869647,0.5537243947858473,,0.5205027932960894
fluff_and_no_must,synergy_radjenovic_2013,0.9687962962962963,0.6622222222222223,,0.9707962962962963
fluff_and_no_must,synergy_walker_2018,0.7033054522924412,0.5492131350681537,,0.7430954151177199
fluff_and_no_must,synergy_wassenaar_2017,0.6941865079365079,0.7146428571428571,,0.8841428571428571
nice_only_one,nykvist_evcharging,0.5227083333333333,0.6459848484848485,0.6136221590909091,0.7291022727272728
nice_only_one,synergy_hall_2012,0.5574796747967479,0.888170731707317,0.8440650406504066,0.9696585365853659
nice_only_one,synergy_jeyaraman_2020,0.5100404142460218,0.8129578176307148,0.6611518060116192,0.748875978782521
nice_only_one,synergy_menon_2022,0.4972067039106145,0.514245810055866,0.4925512104283054,0.5593482309124767
nice_only_one,synergy_radjenovic_2013,0.5878240740740741,0.913148148148148,0.8506944444444444,0.9518703703703704
nice_only_one,synergy_walker_2018,0.536861833952912,0.6722118959107807,0.785638166047088,0.7960210656753409
nice_only_one,synergy_wassenaar_2017,0.6138492063492064,0.8953968253968254,0.8572420634920634,0.9339126984126984
conflicting_prose,nykvist_evcharging,0.6711695075757574,0.46625,0.6136221590909091,0.7529621212121211
conflicting_prose,synergy_hall_2012,0.8804471544715448,0.8628455284552846,0.8440650406504066,0.9646991869918701
conflicting_prose,synergy_jeyaraman_2020,0.5498547613033594,0.7832154584491033,0.6611518060116192,0.7263955544329377
conflicting_prose,synergy_menon_2022,0.5350093109869647,0.4756983240223464,0.4925512104283054,0.568193668528864
conflicting_prose,synergy_radjenovic_2013,0.9687962962962963,0.9052777777777778,0.8506944444444444,0.9662962962962963
conflicting_prose,synergy_walker_2018,0.7033054522924412,0.6484696406443619,0.785638166047088,0.8033816604708797
conflicting_prose,synergy_wassenaar_2017,0.6941865079365079,0.9069047619047619,0.8572420634920634,0.932436507936508
