variant,use_case,n_labels,recall_at_10pct,recall_at_20pct,wss_at_95,roc_auc,wss_ceiling
jasper: embedding PCA-64,solar_leo,200,0.12038493409529924,0.24313847360626661,0.03333333333333329,0.7348886240503415,0.22364583333333332
jasper: embedding PCA-64,tech_forecasting,25,0.1424073258472021,0.27115787062636554,0.0836122733612273,0.7240087466080168,0.3842398884239888
jasper: embedding PCA-64,tech_forecasting,50,0.1457368249688537,0.2925484688885941,0.10887850467289713,0.7790429546721515,0.38118380062305296
jasper: embedding PCA-64,tech_forecasting,100,0.15360592895511102,0.30826742547652,0.139430894308943,0.8189719870076073,0.38849593495934953
jasper: embedding PCA-64,tech_forecasting,200,0.14231202088618147,0.30329500316211916,0.15,0.8243588793880804,0.3859375
jasper: PCA-64 + lexical,carbon_capture,25,0.17426206028537292,0.32741947319159165,0.125735294117647,0.7863967231138973,0.47965686274509794
jasper: PCA-64 + lexical,carbon_capture,50,0.18650246680724308,0.3459517562592526,0.174021592442645,0.8260734892102839,0.47692307692307695
jasper: PCA-64 + lexical,carbon_capture,100,0.18620157714500474,0.3546574748634134,0.17368866328257185,0.8462638963825292,0.4783756345177663
jasper: PCA-64 + lexical,carbon_capture,200,0.19966681245505968,0.3715060238084554,0.21185567010309275,0.8707630858818869,0.48773195876288666
jasper: PCA-64 + lexical,cement_binders,25,0.1424438402562524,0.2779651493721541,0.17672292545710266,0.8496581550888366,0.33270042194092825
jasper: PCA-64 + lexical,cement_binders,50,0.14013792422545293,0.2778399947795343,0.1820754716981132,0.861991455475028,0.3316037735849057
jasper: PCA-64 + lexical,cement_binders,100,0.14059136677776873,0.27794739056072165,0.1849794238683127,0.8565161102273354,0.3323045267489712
jasper: PCA-64 + lexical,cement_binders,200,0.1298843780134642,0.266394040341558,0.1854838709677419,0.8592279364603365,0.3268817204301075
jasper: PCA-64 + lexical,ner,25,0.11702477644941187,0.2317635792310121,0.049883855981416904,0.7123459924126294,0.27098722415795584
jasper: PCA-64 + lexical,ner,50,0.1218405533350331,0.24754376558238442,0.06272264631043253,0.741842246306302,0.2712213740458015
jasper: PCA-64 + lexical,ner,100,0.12763674123235338,0.2526339756772369,0.07106918238993706,0.7703716307372053,0.2736477987421384
jasper: PCA-64 + lexical,ner,200,0.13223222012792252,0.26119675836338957,0.07261904761904758,0.8114199013957091,0.26916666666666667
jasper: PCA-64 + lexical,soil_microbiome,25,0.16140720956557614,0.32116248720255647,0.07931726907630517,0.6447047130505607,0.7002911646586346
jasper: PCA-64 + lexical,soil_microbiome,50,0.1939328467508775,0.35855294870365856,0.09440825190010854,0.7015874231192597,0.7007926167209553
jasper: PCA-64 + lexical,soil_microbiome,100,0.21792796233867748,0.40239549505594663,0.14792477302204923,0.7398760794389396,0.7025810635538262
jasper: PCA-64 + lexical,soil_microbiome,200,0.25991699264006923,0.4307500785025351,0.16868365180467088,0.7644028574463174,0.6978768577494692
jasper: PCA-64 + lexical,solar_leo,25,0.11492848464092262,0.22598815174807185,0.010099502487562143,0.6127122952496834,0.22138308457711442
jasper: PCA-64 + lexical,solar_leo,50,0.12020807538024722,0.23845052775903405,0.025053763440860174,0.6869898176819428,0.21921505376344083
jasper: PCA-64 + lexical,solar_leo,100,0.12151010691243634,0.24372159841930008,0.02717948717948714,0.7081007133490578,0.21630769230769226
jasper: PCA-64 + lexical,solar_leo,200,0.1260144539111484,0.24759771083707358,0.029583333333333288,0.7350564612803582,0.22364583333333332
jasper: PCA-64 + lexical,tech_forecasting,25,0.12642589064773302,0.2523702273339101,0.05767085076708503,0.6636398661810261,0.3842398884239888
jasper: PCA-64 + lexical,tech_forecasting,50,0.14156033890553438,0.2784054351383224,0.07897196261682236,0.736992504546315,0.38118380062305296
jasper: PCA-64 + lexical,tech_forecasting,100,0.1536482880843752,0.2960681692958673,0.10243902439024384,0.7664775356254779,0.38849593495934953
jasper: PCA-64 + lexical,tech_forecasting,200,0.14235267129268556,0.2836353911106447,0.12916666666666662,0.8029979633172669,0.3859375
qwen3-4b: cosine-to-brief (0 labels),carbon_capture,25,0.17687074829931973,0.32653061224489793,0.16212121212121208,0.7980498866213153,0.4797979797979797
qwen3-4b: cosine-to-brief (0 labels),carbon_capture,50,0.17687074829931973,0.32653061224489793,0.16212121212121208,0.7980498866213153,0.4797979797979797
qwen3-4b: cosine-to-brief (0 labels),carbon_capture,100,0.17687074829931973,0.32653061224489793,0.16212121212121208,0.7980498866213153,0.4797979797979797
qwen3-4b: cosine-to-brief (0 labels),carbon_capture,200,0.17687074829931973,0.32653061224489793,0.16212121212121208,0.7980498866213153,0.4797979797979797
qwen3-4b: cosine-to-brief (0 labels),cement_binders,25,0.12352941176470589,0.2529411764705882,0.21717557251908393,0.8341432225063938,0.333587786259542
qwen3-4b: cosine-to-brief (0 labels),cement_binders,50,0.12352941176470589,0.2529411764705882,0.21717557251908393,0.8341432225063938,0.333587786259542
qwen3-4b: cosine-to-brief (0 labels),cement_binders,100,0.12352941176470589,0.2529411764705882,0.21717557251908393,0.8341432225063938,0.333587786259542
qwen3-4b: cosine-to-brief (0 labels),cement_binders,200,0.12352941176470589,0.2529411764705882,0.21717557251908393,0.8341432225063938,0.333587786259542
qwen3-4b: cosine-to-brief (0 labels),ner,25,0.13452914798206278,0.2600896860986547,0.06858974358974354,0.7513478107522547,0.2709935897435897
qwen3-4b: cosine-to-brief (0 labels),ner,50,0.13452914798206278,0.2600896860986547,0.06858974358974354,0.7513478107522547,0.2709935897435897
qwen3-4b: cosine-to-brief (0 labels),ner,100,0.13452914798206278,0.2600896860986547,0.06858974358974354,0.7513478107522547,0.2709935897435897
qwen3-4b: cosine-to-brief (0 labels),ner,200,0.13452914798206278,0.2600896860986547,0.06858974358974354,0.7513478107522547,0.2709935897435897
qwen3-4b: cosine-to-brief (0 labels),soil_microbiome,25,0.11702127659574468,0.2553191489361702,-0.019187675070028054,0.5195372542674541,0.6998599439775911
qwen3-4b: cosine-to-brief (0 labels),soil_microbiome,50,0.11702127659574468,0.2553191489361702,-0.019187675070028054,0.5195372542674541,0.6998599439775911
qwen3-4b: cosine-to-brief (0 labels),soil_microbiome,100,0.11702127659574468,0.2553191489361702,-0.019187675070028054,0.5195372542674541,0.6998599439775911
qwen3-4b: cosine-to-brief (0 labels),soil_microbiome,200,0.11702127659574468,0.2553191489361702,-0.019187675070028054,0.5195372542674541,0.6998599439775911
qwen3-4b: cosine-to-brief (0 labels),solar_leo,25,0.11956521739130435,0.2210144927536232,0.01666666666666662,0.5888112491373361,0.2216666666666666
qwen3-4b: cosine-to-brief (0 labels),solar_leo,50,0.11956521739130435,0.2210144927536232,0.01666666666666662,0.5888112491373361,0.2216666666666666
qwen3-4b: cosine-to-brief (0 labels),solar_leo,100,0.11956521739130435,0.2210144927536232,0.01666666666666662,0.5888112491373361,0.2216666666666666
qwen3-4b: cosine-to-brief (0 labels),solar_leo,200,0.11956521739130435,0.2210144927536232,0.01666666666666662,0.5888112491373361,0.2216666666666666
qwen3-4b: cosine-to-brief (0 labels),tech_forecasting,25,0.1464968152866242,0.25477707006369427,0.033333333333333284,0.628906482528722,0.38503787878787876
qwen3-4b: cosine-to-brief (0 labels),tech_forecasting,50,0.1464968152866242,0.25477707006369427,0.033333333333333284,0.628906482528722,0.38503787878787876
qwen3-4b: cosine-to-brief (0 labels),tech_forecasting,100,0.1464968152866242,0.25477707006369427,0.033333333333333284,0.628906482528722,0.38503787878787876
qwen3-4b: cosine-to-brief (0 labels),tech_forecasting,200,0.1464968152866242,0.25477707006369427,0.033333333333333284,0.628906482528722,0.38503787878787876
qwen3-4b: embedding,carbon_capture,25,0.17182436294755563,0.3321725130336378,0.17156862745098037,0.8137410279782438,0.47965686274509794
qwen3-4b: embedding,carbon_capture,50,0.1816258666966072,0.3458408496923659,0.2231443994601889,0.8413203942623292,0.47692307692307695
qwen3-4b: embedding,carbon_capture,100,0.18756101550881318,0.3635325090850533,0.2288494077834179,0.87096557020454,0.4783756345177663
qwen3-4b: embedding,carbon_capture,200,0.2027137100019573,0.3759801986635827,0.2517182130584192,0.884794168341117,0.48773195876288666
qwen3-4b: embedding,cement_binders,25,0.14463646540743494,0.2814707740114336,0.1733473980309423,0.8484030523577212,0.33270042194092825
qwen3-4b: embedding,cement_binders,50,0.14404814878598496,0.28705326269446846,0.18490566037735848,0.8671268423030265,0.3316037735849057
qwen3-4b: embedding,cement_binders,100,0.14256918078821587,0.28579004144950293,0.20020576131687237,0.8742725707752143,0.3323045267489712
qwen3-4b: embedding,cement_binders,200,0.12810607018864476,0.27161822415337655,0.2091397849462365,0.8804037684221745,0.3268817204301075
qwen3-4b: embedding,ner,25,0.12934264551356364,0.2538274442072836,0.04361207897793259,0.7354886395860605,0.27098722415795584
qwen3-4b: embedding,ner,50,0.1306806139126341,0.25707228417445666,0.06017811704834601,0.764325287995716,0.2712213740458015
qwen3-4b: embedding,ner,100,0.1360538174225788,0.2681271982814424,0.07767295597484274,0.8086413950560567,0.2736477987421384
qwen3-4b: embedding,ner,200,0.13640410622214497,0.26947530338134407,0.08988095238095233,0.8460675411258879,0.26916666666666667
qwen3-4b: embedding,soil_microbiome,25,0.19035254145365604,0.352821336675846,0.11867469879518065,0.6987036948992758,0.7002911646586346
qwen3-4b: embedding,soil_microbiome,50,0.24322021980423789,0.4224220234445276,0.19820846905537454,0.7738694141978334,0.7007926167209553
qwen3-4b: embedding,soil_microbiome,100,0.27145323061172,0.46045234729393464,0.2174448767833981,0.8013612628833985,0.7025810635538262
qwen3-4b: embedding,soil_microbiome,200,0.28135016805177493,0.458160892600074,0.23789808917197452,0.8041457551209922,0.6978768577494692
qwen3-4b: embedding,solar_leo,25,0.12010498918757276,0.2332563289916529,0.01606965174129349,0.6469914408107145,0.22138308457711442
