use_case,n_pos,n_neg,n_labels,auc,auc_sd,recall10,recall10_sd,auc_floor,recall10_floor,auc_gain,recall10_gain
nykvist_evcharging,10,50,60,0.9407935606060607,0.0047743406063493,0.7640212121212114,0.037379929107634595,0.8621685606060606,0.5340909090909091,0.07862500000000006,0.22993030303030237
nykvist_evcharging,10,100,110,0.9419337121212121,0.007167917338337371,0.7715909090909091,0.03671703277591708,0.8621685606060606,0.5340909090909091,0.07976515151515151,0.23750000000000004
nykvist_evcharging,20,10,30,0.9218863636363637,0.007908303542602958,0.6851181818181811,0.03931839306301744,0.8621685606060606,0.5340909090909091,0.05971780303030305,0.151027272727272
nykvist_evcharging,20,20,40,0.941126893939394,0.00868234577499453,0.7545454545454546,0.0439230638411084,0.8621685606060606,0.5340909090909091,0.07895833333333335,0.22045454545454557
nykvist_evcharging,20,50,70,0.9443200757575756,0.007588501118860409,0.775,0.018878690597541083,0.8621685606060606,0.5340909090909091,0.08215151515151498,0.24090909090909096
nykvist_evcharging,20,100,120,0.9453465909090909,0.006291684340368831,0.7738636363636363,0.014101901870444153,0.8621685606060606,0.5340909090909091,0.08317803030303028,0.23977272727272725
nykvist_evcharging,30,10,40,0.933282196969697,0.008217660077883954,0.7178749999999994,0.022185927804848384,0.8621685606060606,0.5340909090909091,0.07111363636363643,0.18378409090909031
nykvist_evcharging,30,20,50,0.9471780303030304,0.004467810657436942,0.803793939393939,0.03045647001306258,0.8621685606060606,0.5340909090909091,0.08500946969696976,0.2697030303030299
nykvist_evcharging,30,50,80,0.9496818181818181,0.002682654006458072,0.7875,0.009231861823449969,0.8621685606060606,0.5340909090909091,0.08751325757575745,0.2534090909090909
nykvist_evcharging,30,100,130,0.9532727272727272,0.0014581931258849956,0.7954545454545455,0.016854996561581036,0.8621685606060606,0.5340909090909091,0.09110416666666654,0.26136363636363646
synergy_hall_2012,2,10,12,0.9869674796747967,0.004971636119854565,1.0,0.0,0.9895934959349594,1.0,-0.002626016260162678,0.0
synergy_hall_2012,2,20,22,0.9875447154471544,0.004022180554563726,1.0,0.0,0.9895934959349594,1.0,-0.002048780487804991,0.0
synergy_hall_2012,2,50,52,0.9876585365853658,0.004083745583320818,1.0,0.0,0.9895934959349594,1.0,-0.0019349593495935347,0.0
synergy_hall_2012,2,100,102,0.9880243902439025,0.003777173125064568,1.0,0.0,0.9895934959349594,1.0,-0.001569105691056838,0.0
synergy_hall_2012,3,10,13,0.9894634146341463,0.0009296064510731009,1.0,0.0,0.9895934959349594,1.0,-0.00013008130081304525,0.0
synergy_hall_2012,3,20,23,0.9889268292682927,0.0009744573139169281,1.0,0.0,0.9895934959349594,1.0,-0.0006666666666667043,0.0
synergy_hall_2012,3,50,53,0.9895772357723578,0.0014747976443378185,1.0,0.0,0.9895934959349594,1.0,-1.6260162601589023e-05,0.0
synergy_hall_2012,3,100,103,0.9893983739837399,0.0013860298420244883,1.0,0.0,0.9895934959349594,1.0,-0.00019512195121951237,0.0
synergy_hall_2012,5,10,15,0.9891626016260162,0.002078917588778981,1.0,0.0,0.9895934959349594,1.0,-0.00043089430894316383,0.0
synergy_hall_2012,5,20,25,0.98930081300813,0.002854156489572844,1.0,0.0,0.9895934959349594,1.0,-0.0002926829268293796,0.0
synergy_hall_2012,5,50,55,0.9899268292682928,0.0023489323063272563,1.0,0.0,0.9895934959349594,1.0,0.00033333333333340764,0.0
synergy_hall_2012,5,100,105,0.9896991869918699,0.002729770897097024,1.0,0.0,0.9895934959349594,1.0,0.00010569105691049518,0.0
synergy_hall_2012,10,10,20,0.9900975609756097,0.0010495679907224357,1.0,0.0,0.9895934959349594,1.0,0.0005040650406503699,0.0
synergy_hall_2012,10,20,30,0.9904390243902439,0.0014994215290149598,1.0,0.0,0.9895934959349594,1.0,0.0008455284552845166,0.0
synergy_hall_2012,10,50,60,0.990780487804878,0.0012891755865310221,1.0,0.0,0.9895934959349594,1.0,0.0011869918699186632,0.0
synergy_hall_2012,10,100,110,0.9913739837398374,0.00111870627715659,1.0,0.0,0.9895934959349594,1.0,0.0017804878048780504,0.0
synergy_hall_2012,20,10,30,0.990731707317073,0.0012208664567220878,1.0,0.0,0.9895934959349594,1.0,0.0011382113821136741,0.0
synergy_hall_2012,20,20,40,0.9909756097560976,0.0012834203096371447,1.0,0.0,0.9895934959349594,1.0,0.0013821138211381756,0.0
synergy_hall_2012,20,50,70,0.9911626016260163,0.0011608093524917574,1.0,0.0,0.9895934959349594,1.0,0.001569105691056949,0.0
synergy_hall_2012,20,100,120,0.9916016260162601,0.0011401261478549553,1.0,0.0,0.9895934959349594,1.0,0.0020081300813007408,0.0
synergy_hall_2012,30,10,40,0.9915691056910569,0.0005334969013503324,1.0,0.0,0.9895934959349594,1.0,0.0019756097560975627,0.0
synergy_hall_2012,30,20,50,0.9911138211382113,0.00046033781030545474,1.0,0.0,0.9895934959349594,1.0,0.0015203252032519599,0.0
synergy_hall_2012,30,50,80,0.9918373983739837,0.000340494172217419,1.0,0.0,0.9895934959349594,1.0,0.002243902439024281,0.0
synergy_hall_2012,30,100,130,0.9925772357723577,0.0005780939458416713,1.0,0.0,0.9895934959349594,1.0,0.0029837398373983026,0.0
synergy_jeyaraman_2020,2,10,12,0.7250947208891135,0.07528390312858461,0.2756756756756757,0.1148569154641934,0.7801843899974742,0.24324324324324326,-0.05508966910836066,0.032432432432432434
