,nykvist_evcharging,roadfreight_metareview,synergy_appenzeller-herzog_2019,synergy_bos_2018,synergy_brouwer_2019,synergy_chou_2003,synergy_chou_2004,synergy_donners_2021,synergy_hall_2012,synergy_jeyaraman_2020,synergy_leenaars_2019,synergy_leenaars_2020,synergy_meijboom_2021,synergy_menon_2022,synergy_moran_2021,synergy_muthu_2021,synergy_nelson_2002,synergy_oud_2018,synergy_radjenovic_2013,synergy_sep_2021,synergy_smid_2020,synergy_van_de_schoot_2018,synergy_van_der_valk_2021,synergy_van_der_waal_2022,synergy_van_dis_2020,synergy_walker_2018,synergy_wassenaar_2017,synergy_wolters_2018,carbon_capture,cement_binders,ner,soil_microbiome,solar_leo,tech_forecasting
synergy_oud_2018,0.508642955003465,0.5980917308336123,0.7059434348954775,0.656913910006164,0.737060787784458,0.7804439746300211,0.5505517855918843,0.43593964334705076,0.7401267739051144,0.691255406240346,0.17653149266609147,0.5225678782298153,0.6481368942907404,0.44128145903950566,0.47558404965812373,0.6157941670163659,0.4542395104895105,0.8631437768240343,0.6701489156899383,0.5787878787878787,0.7278347578347578,0.43701380615319924,0.4532895201752526,0.6900862001533143,0.8458756625441697,0.6342440411602109,0.8095376042974297,0.5506234475599658,0.44865312126505463,0.3798593350383631,0.45417443442333855,0.7088827764743952,0.5269222343921139,0.5570569676766475
synergy_radjenovic_2013,0.6261055972853923,0.6114830934047539,0.5003825659243066,0.8687795356482433,0.8000558658270686,0.677061310782241,0.45479470834190144,0.5215363511659807,0.9898468001097763,0.7336847389558233,0.5659442724458205,0.5012979922727075,0.501647209339517,0.5282193958664547,0.5549597216263883,0.5510710788721699,0.5253059440559441,0.36663090128755366,0.9737026499065737,0.6056277056277056,0.6915811965811967,0.6930700586352699,0.5406508373966504,0.5069695405265875,0.4340392802807224,0.49171977331576844,0.4329408805391338,0.4535781811890609,0.4586742668015078,0.5589514066496165,0.5108580641910616,0.6172235256047245,0.40407447973713034,0.4905053872254301
synergy_sep_2021,0.6603887711780028,0.5472045530632742,0.4602131438721137,0.7824327100883501,0.7708723292065526,0.6813601127554616,0.48317225306737954,0.6677640603566529,0.7016541692856575,0.5509441612604262,0.6615033243668477,0.517571761577977,0.5016791939868863,0.6490686024537301,0.3728896444945828,0.48716229043023,0.3213286713286713,0.4270922746781116,0.705590708340411,0.5878787878787878,0.5181339031339032,0.551375943186862,0.5453148187407251,0.6326402903584112,0.5940920077542206,0.8194344342351371,0.7838791550581943,0.7878301059057599,0.40668382826146915,0.3164961636828645,0.49221544817856605,0.6630936008413559,0.4485870755750274,0.5391392344782427
synergy_smid_2020,0.6333461443489481,0.5143957147639773,0.4144145375051237,0.716724881857407,0.6854703071857526,0.5457364341085271,0.41346219754609637,0.6224965706447187,0.9221617518170631,0.7191844300278036,0.7445363650205552,0.4685456575975711,0.5083000159923237,0.6384347721750607,0.4852983494958803,0.5098028195751654,0.5892482517482517,0.6252682403433476,0.7876465092576864,0.5416666666666667,0.9465242165242166,0.6436564113345947,0.6453254186983252,0.48987030866225495,0.6596470725363172,0.6221117366109303,0.7181629823551221,0.4426539464415912,0.4546750022984279,0.4201406649616368,0.4969516803547136,0.6437585955828816,0.4256736035049289,0.5617596285493185
synergy_van_de_schoot_2018,0.6851869478983297,0.6131570137261466,0.5430181718814046,0.441442366961167,0.772731627009559,0.4672656800563777,0.43196929193227773,0.5042524005486968,0.8232037412466691,0.6325880444856349,0.5371770796325432,0.4094386617640044,0.5009435470973933,0.5009448960614333,0.4601038428198922,0.4645392462482265,0.5112325174825175,0.6233369098712447,0.6778955042183342,0.5451298701298701,0.8791880341880342,0.8584752493751022,0.509186629920147,0.5542466482063798,0.7551822609933255,0.7090242728218946,0.771070792904854,0.5015261798544259,0.4438723912843615,0.4021099744245524,0.40756789439209956,0.7045546476822263,0.46037239868565166,0.50949461277457
synergy_van_der_valk_2021,0.5814525700357646,0.470873786407767,0.4713348818144555,0.7108485720156155,0.7012892798649047,0.6898872445384072,0.5652889163068064,0.7333333333333333,0.5977993838363271,0.6481213314797653,0.8536162005785921,0.4235445739930774,0.4394050855589317,0.7104868464468909,0.4848905342732503,0.45760645844573666,0.4648601398601399,0.3154506437768241,0.652295311703754,0.547077922077922,0.6245014245014244,0.643440325180461,0.8463536145855417,0.3837080145804978,0.44448738712210445,0.7982175329092543,0.9561184845027639,0.6799718243719183,0.3675186172657902,0.4080562659846547,0.3891772056230161,0.598252568562414,0.468170865279299,0.5108042145365795
synergy_van_der_waal_2022,0.5876130090885194,0.6201874790759959,0.7480393496379287,0.757427573453873,0.7689413976799152,0.6813601127554616,0.43457399410514763,0.5124828532235939,0.8271925378683924,0.7259615384615384,0.5303862355986397,0.41645500086066195,0.47366064289141213,0.3092359840417554,0.5534829361989856,0.518683931818636,0.5486013986013987,0.5535944206008583,0.6866188211313062,0.5930735930735931,0.5735897435897437,0.5593068890602004,0.5255282312204085,0.9525977378326371,0.6240567947585394,0.5900274257613013,0.739418259068914,0.4962741439181424,0.5007814654776133,0.37001278772378515,0.4841033909406963,0.632068602863846,0.4403504928806134,0.5137805821775107
synergy_van_dis_2020,0.5012656022239392,0.587378640776699,0.7156442136903949,0.6965687281693036,0.8320854653903148,0.7676180408738549,0.6189594900267325,0.646639231824417,0.5816693520543216,0.7465052517763361,0.39382835101253616,0.5546257209339944,0.7469374700143931,0.5007649158592554,0.461244313096165,0.6435740263373498,0.45472027972027973,0.8180793991416309,0.6274135099937717,0.5817099567099566,0.6636182336182336,0.6434403251804611,0.6234188396579747,0.5540745607859702,0.8655158029053789,0.662522163488287,0.7983648595002307,0.64800237268447,0.5163648064723729,0.47468030690537083,0.41714112964175953,0.6683520750748321,0.48438116100766704,0.5236621227454015
synergy_walker_2018,0.5936577507308254,0.5127217944425845,0.40091542560459076,0.8186151633449763,0.5979436458767798,0.6938336856941507,0.32257180067173896,0.4622770919067215,0.6473016280531529,0.40751467408093917,0.509678729127544,0.35562629228909115,0.4086998240844395,0.8568557458679545,0.5641408604371567,0.44707926183482205,0.4241258741258741,0.3900751072961373,0.7108388539720288,0.6048701298701298,0.6292450142450142,0.6748136986941389,0.664811674086637,0.3348664758060731,0.5403768526698076,0.8995982090021094,0.8980600290643959,0.6944180126296017,0.3892157764089363,0.33209718670076727,0.42797400110847994,0.6160504813526414,0.46952902519167583,0.546461098874933
synergy_wassenaar_2017,0.6352665023139482,0.4973217274857717,0.43484082524935097,0.7764331210191083,0.5271038273601829,0.6311486962649754,0.5227911440126123,0.6200274348422496,0.812270930531087,0.572964936669756,0.4561132822412831,0.5404721093683571,0.36868703022549176,0.8933317335093139,0.46690959036638047,0.4846644385828187,0.5021853146853147,0.42644849785407724,0.8188168846611177,0.6154761904761905,0.7722507122507123,0.544782395402621,0.6537170517984595,0.40271585238028196,0.4918025495681193,0.8776047698370824,0.9359045428914424,0.6193942239962432,0.4597315436241611,0.4083120204603581,0.41124603214591626,0.6593722190761265,0.4759255202628696,0.4683612119769034
synergy_wolters_2018,0.556471686991708,0.5214261801138266,0.5990982374641344,0.9615985206492706,0.8355675425478887,0.7129316420014093,0.5070258413873466,0.5037037037037038,0.7273320821197448,0.7075706672845227,0.4038572806171649,0.3864843929844646,0.48252039021269794,0.6567327593964665,0.47271257147800355,0.5383520172651519,0.48116258741258744,0.42296137339055795,0.7440334635637846,0.5913419913419913,0.48558404558404555,0.5007650617889597,0.7143664758674299,0.5208929772688162,0.5510711130742049,0.6291197403539742,0.767562322147475,0.9754328295498078,0.38186080720786986,0.4188618925831202,0.487781528694513,0.5863198770326026,0.48065717415115006,0.5396749806536103
carbon_capture,0.40502417498387,0.45748242383662535,0.35342259871567155,0.335771522498459,0.628952994713516,0.4,0.2728082802111179,0.4359396433470508,0.22054631408412048,0.5035816342292246,0.3804902806679186,0.47965325174672896,0.369326723172877,0.4529351771305157,0.4766865631063162,0.6334752113182663,0.3899475524475525,0.5744098712446352,0.315072759186909,0.4775974025974026,0.5707407407407408,0.4351332725956035,0.4444032223871105,0.25544030913158433,0.7008068622398901,0.37188036804387237,0.26322948593690954,0.3499215284042462,0.7514939781189666,0.6726342710997443,0.5442132312188239,0.7432246581991748,0.5764731653888281,0.5586046788499316
cement_binders,0.33301338983455864,0.4631737529293605,0.36495422871977046,0.4674748304910623,0.6091587742410216,0.5433403805496828,0.4106518609911577,0.36433470507544585,0.33475515018989527,0.5644308001235712,0.09511241942851344,0.547424935761437,0.5482168559091636,0.6075381708012119,0.5088174594347434,0.6935647842855144,0.6059003496503498,0.6994098712446352,0.4871114319687447,0.5336580086580086,0.6339173789173789,0.48141659074450444,0.42470496784679523,0.3716462508408817,0.6826122030820573,0.4727862505074236,0.198142167574482,0.2971787298723446,0.5154454353222396,0.8282608695652174,0.5224971028367008,0.712118760618073,0.588433734939759,0.5925947973093637
ner,0.5630877468277802,0.6101439571476397,0.4008334471922394,0.7102321758783645,0.6489566060704706,0.5773431994362227,0.38097196517924464,0.3176954732510288,0.801094664341298,0.6038480846462774,0.31647972389991375,0.43361600374958265,0.40102350871581643,0.5560638329783725,0.5583749534366818,0.5823004715944288,0.39108391608391607,0.3155579399141631,0.5779082441537853,0.5481601731601732,0.5334757834757835,0.4083502698156843,0.47528443219560457,0.3792337416498491,0.5010628312720848,0.4310261736555625,0.6506216418880175,0.5056289467505344,0.44787165578744137,0.327237851662404,0.7735174081725199,0.6556103875091012,0.4929682365826945,0.6302756116435503
soil_microbiome,0.3501879834001099,0.4842651489789086,0.3314387211367673,0.7530306143414834,0.6043644011759799,0.47371388301620865,0.3032421687572829,0.34320987654320984,0.5561673911311383,0.5635040160642572,0.3718824544485611,0.42350620713540593,0.2987366064289141,0.6833248342682305,0.614565182466417,0.5354994704554084,0.406993006993007,0.4426502145922747,0.44640556876734044,0.4431818181818182,0.450997150997151,0.5773705235125097,0.6312451416860999,0.29577134275120853,0.4016950088339223,0.6465640371340052,0.6529391638561943,0.4802955969402256,0.4177162820630689,0.5671994884910486,0.4514032347458054,0.6027829463635628,0.5564950711938663,0.4974700875052086
solar_leo,0.3622841377058059,0.4691998660863742,0.35370952315890153,0.4708444627080337,0.5831434403854827,0.5010570824524313,0.3072863116046336,0.44060356652949245,0.2822644900271785,0.45565917516218724,0.4626452824442978,0.3728883970326865,0.3368623060930753,0.5884002759696434,0.5318140009498034,0.5799125252283037,0.5072552447552447,0.4646995708154507,0.33323778381745084,0.5503246753246753,0.5231196581196581,0.6802100123811525,0.5159176029962547,0.19231551446316547,0.5914909084216726,0.6293794389194725,0.567860238165915,0.2819540045229298,0.40406362048358924,0.6067135549872122,0.5334811306494684,0.7924520669848718,0.5289813800657175,0.5447943329960117
tech_forecasting,0.5823952749257226,0.6037830599263475,0.29617434075693405,0.7441134168892541,0.811013282333513,0.3971811134601832,0.27260264582904925,0.3102880658436214,0.8633617217171136,0.454799969107198,0.4948992539207227,0.3288642425034271,0.28805373420758035,0.5997990221075682,0.5924513578834566,0.5722228883160482,0.4265734265734266,0.401019313304721,0.7039946775380783,0.46688311688311684,0.4499145299145299,0.6011166398019016,0.5402091724966434,0.29674129002988064,0.4176068045740086,0.5674031221898135,0.6128081237251544,0.6242260970576241,0.39220373264686953,0.5913682864450129,0.5204816848894039,0.7250626971927838,0.45156626506024095,0.6724805047919521
