representation,use_case,n_labels,roc_auc,pr_auc,recall_at_10pct,f2_at_0.5
Tier 1b,solar_leo,0,0.4133454106280194,0.7189731303729194,0.08333333333333333,0.9278350515463918
Tier 1b,solar_leo,25,0.5722445448155598,0.8157246606660941,0.11343106450152175,0.7015200118086967
Tier 1b,solar_leo,50,0.5812234751259632,0.8237186146637786,0.11346076731537219,0.6473423472609159
Tier 1b,solar_leo,100,0.592536045610225,0.8324082482871009,0.11469150490455297,0.6142082536584447
Tier 1b,solar_leo,200,0.6053854492578681,0.8370999047575868,0.11693580603113768,0.5894657343235508
Tier 1b,tech_forecasting,0,0.5399130900648849,0.6433301972078069,0.10191082802547771,0.1225114854517611
Tier 1b,tech_forecasting,25,0.5684848680702899,0.6548543065861425,0.1144632500685259,0.6141218712528396
Tier 1b,tech_forecasting,50,0.5899603634707993,0.6786598896471067,0.1256251932897828,0.597069759127016
Tier 1b,tech_forecasting,100,0.610842278060801,0.6943924223678999,0.12663808624401895,0.5877901916986343
Tier 1b,tech_forecasting,200,0.6391443467829504,0.7263554551904718,0.12212776918527618,0.5789866061748719
Tier 1b + embedding,carbon_capture,0,0.6540589569160997,0.6227694082319395,0.14965986394557823,0.4864091559370529
Tier 1b + embedding,carbon_capture,25,0.7456543934481493,0.7305021043678691,0.16470886767709922,0.6791245494417726
Tier 1b + embedding,carbon_capture,50,0.7660953257716041,0.7519945265712795,0.16924661482633618,0.6923033103552119
Tier 1b + embedding,carbon_capture,100,0.7838607679762718,0.7740799985977596,0.18062088859944495,0.7201310120197246
Tier 1b + embedding,carbon_capture,200,0.7887487707122932,0.7810137324486367,0.18626406916828825,0.7257677388914572
Tier 1b + embedding,cement_binders,0,0.7407928388746803,0.805913900052743,0.12941176470588237,0.5605095541401274
Tier 1b + embedding,cement_binders,25,0.8397488765230715,0.8888766519651338,0.14648193795021774,0.885106138044374
Tier 1b + embedding,cement_binders,50,0.8545132252968344,0.9021232676269553,0.1457923839559335,0.8683433888872972
Tier 1b + embedding,cement_binders,100,0.8593553594306726,0.8973425986702587,0.14293815192466736,0.863443960808771
Tier 1b + embedding,cement_binders,200,0.858643764998027,0.8876630014815524,0.1308205342442438,0.8715648183064987
Tier 1b + embedding,ner,0,0.5324230362271376,0.7230449343924843,0.08968609865470852,0.22584033613445378
Tier 1b + embedding,ner,25,0.6497095411638196,0.8142194630471475,0.12105825999194117,0.8129893408811979
Tier 1b + embedding,ner,50,0.6810608071226593,0.8352880318957537,0.1255831062998748,0.8141973979012431
Tier 1b + embedding,ner,100,0.6990801737525589,0.8474509186615926,0.12587347974567434,0.800403966912838
Tier 1b + embedding,ner,200,0.7357764454284178,0.8739857087133646,0.127284641615505,0.7972619101775885
Tier 1b + embedding,soil_microbiome,0,0.537941914084621,0.2750871935023997,0.0851063829787234,0.05037783375314862
