variant,use_case,unfitted_bm25_nice,unfitted_bm25_obj,unfitted_overlap_must_frac,fitted_auc
vague_and_flood,synergy_moran_2021,0.6016287878787878,0.5032575757575758,0.6211742424242425,0.5531590909090909
vague_and_flood,synergy_muthu_2021,0.4946268656716417,0.4995646766169154,0.5405534825870647,0.6716268656716418
vague_and_flood,synergy_nelson_2002,0.4619932432432432,0.45945945945945943,0.511402027027027,0.5384009009009009
vague_and_flood,synergy_sep_2021,0.4320652173913044,0.4470108695652173,0.6474184782608696,
vague_and_flood,synergy_van_der_valk_2021,0.7138267355134824,0.46873207114170967,0.759609868043603,0.7683075157773953
vague_and_flood,synergy_van_dis_2020,0.5357471264367816,0.3811494252873563,0.5792816091954023,0.8345862068965518
fluff_and_no_must,synergy_brouwer_2019,0.7351333333333333,0.49673333333333336,,0.8632933333333334
fluff_and_no_must,synergy_leenaars_2020,0.625286231884058,0.3491304347826087,,0.7297028985507247
fluff_and_no_must,synergy_moran_2021,0.47750000000000004,0.583939393939394,,0.5814015151515151
fluff_and_no_must,synergy_muthu_2021,0.5617910447761194,0.4938681592039801,,0.6809378109452737
fluff_and_no_must,synergy_nelson_2002,0.5423704954954955,0.39639639639639634,,0.6170608108108108
fluff_and_no_must,synergy_sep_2021,0.49592391304347827,0.48573369565217395,,
fluff_and_no_must,synergy_van_der_valk_2021,0.6932874354561102,0.5663798049340218,,0.7090533562822718
fluff_and_no_must,synergy_van_dis_2020,0.7121264367816091,0.41517241379310343,,0.840919540229885
nice_only_one,synergy_brouwer_2019,0.6825333333333333,0.7518,0.8753,0.94284
nice_only_one,synergy_leenaars_2020,0.508695652173913,0.5541666666666667,0.7481086956521739,0.7759101449275363
nice_only_one,synergy_moran_2021,0.5003219696969696,0.5910227272727273,0.4867424242424242,0.5819772727272727
nice_only_one,synergy_muthu_2021,0.5,0.640136815920398,0.6049067164179104,0.7368407960199004
nice_only_one,synergy_nelson_2002,0.5826295045045046,0.5205518018018018,0.6237331081081081,0.6308558558558559
nice_only_one,synergy_sep_2021,0.43546195652173914,0.5054347826086956,0.7785326086956521,
nice_only_one,synergy_van_der_valk_2021,0.776592082616179,0.7823293172690763,0.7876075731497418,0.8447045324153759
nice_only_one,synergy_van_dis_2020,0.7513793103448275,0.8607471264367816,0.8358045977011495,0.8937241379310346
conflicting_prose,synergy_brouwer_2019,0.7351333333333333,0.7049333333333333,0.8753,0.9466933333333334
conflicting_prose,synergy_leenaars_2020,0.625286231884058,0.5120652173913043,0.7481086956521739,0.8018971014492754
conflicting_prose,synergy_moran_2021,0.47750000000000004,0.6010606060606061,0.4867424242424242,0.5826439393939393
conflicting_prose,synergy_muthu_2021,0.5617910447761194,0.6283582089552239,0.6049067164179104,0.7308905472636816
conflicting_prose,synergy_nelson_2002,0.5423704954954955,0.5281531531531531,0.6237331081081081,0.6152027027027027
conflicting_prose,synergy_sep_2021,0.49592391304347827,0.4735054347826087,0.7785326086956521,
conflicting_prose,synergy_van_der_valk_2021,0.6932874354561102,0.77429718875502,0.7876075731497418,0.8175100401606425
conflicting_prose,synergy_van_dis_2020,0.7121264367816091,0.836551724137931,0.8358045977011495,0.8976666666666666
